#		
#		
#	units definition file	
#		
#		
39	# number of units	
	3 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 0 1 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 0 2 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 0 3 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
}		
# wayl_pipe		
{		
	1 	# version
	wayl_pipe 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	1 	# door links
	136.006516 1 1 	# dist/door-id/tekiflag
	1 	# index
	3 0 1 	# dir/offs/wpindex
	1 	# door links
	136.006516 0 1 	# dist/door-id/tekiflag
}		
# way2_pipe		
{		
	1 	# version
	way2_pipe 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
}		
# way2x2_pipe		
{		
	1 	# version
	way2x2_pipe 	# foldername
	1 2 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	340.009064 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	340.009064 0 1 	# dist/door-id/tekiflag
}		
# room_north2x2_1_tile		
{		
	1 	# version
	room_north2x2_1_tile 	# foldername
	2 2 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	3 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_pool5x5_5_tile		
{		
	1 	# version
	room_pool5x5_5_tile 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	5 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	4 	# door links
	1020.044495 1 1 	# dist/door-id/tekiflag
	1267.025757 2 1 	# dist/door-id/tekiflag
	1020.044495 3 1 	# dist/door-id/tekiflag
	510.013580 4 1 	# dist/door-id/tekiflag
	1 	# index
	1 3 1 	# dir/offs/wpindex
	4 	# door links
	1020.044495 0 1 	# dist/door-id/tekiflag
	850.039978 2 1 	# dist/door-id/tekiflag
	1097.021240 3 1 	# dist/door-id/tekiflag
	1360.053589 4 1 	# dist/door-id/tekiflag
	2 	# index
	2 1 2 	# dir/offs/wpindex
	4 	# door links
	1267.025635 0 1 	# dist/door-id/tekiflag
	850.039917 1 1 	# dist/door-id/tekiflag
	416.985687 3 1 	# dist/door-id/tekiflag
	927.016541 4 1 	# dist/door-id/tekiflag
	3 	# index
	3 3 3 	# dir/offs/wpindex
	4 	# door links
	1020.044495 0 1 	# dist/door-id/tekiflag
	1097.021118 1 1 	# dist/door-id/tekiflag
	416.985687 2 1 	# dist/door-id/tekiflag
	680.035400 4 1 	# dist/door-id/tekiflag
	4 	# index
	3 0 4 	# dir/offs/wpindex
	4 	# door links
	510.013580 0 1 	# dist/door-id/tekiflag
	1360.053589 1 1 	# dist/door-id/tekiflag
	927.016602 2 1 	# dist/door-id/tekiflag
	680.035400 3 1 	# dist/door-id/tekiflag
}		
# room_drypool5x5_5_tile		
{		
	1 	# version
	room_drypool5x5_5_tile 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	5 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	4 	# door links
	1020.044495 1 1 	# dist/door-id/tekiflag
	1260.463501 2 1 	# dist/door-id/tekiflag
	1020.044495 3 1 	# dist/door-id/tekiflag
	510.013580 4 1 	# dist/door-id/tekiflag
	1 	# index
	1 3 1 	# dir/offs/wpindex
	4 	# door links
	1020.044495 0 1 	# dist/door-id/tekiflag
	850.039978 2 1 	# dist/door-id/tekiflag
	1090.458984 3 1 	# dist/door-id/tekiflag
	1360.053589 4 1 	# dist/door-id/tekiflag
	2 	# index
	2 1 2 	# dir/offs/wpindex
	4 	# door links
	1260.463501 0 1 	# dist/door-id/tekiflag
	850.039917 1 1 	# dist/door-id/tekiflag
	410.423523 3 1 	# dist/door-id/tekiflag
	920.454407 4 1 	# dist/door-id/tekiflag
	3 	# index
	3 3 3 	# dir/offs/wpindex
	4 	# door links
	1020.044495 0 1 	# dist/door-id/tekiflag
	1090.458984 1 1 	# dist/door-id/tekiflag
	410.423523 2 1 	# dist/door-id/tekiflag
	680.035400 4 1 	# dist/door-id/tekiflag
	4 	# index
	3 0 4 	# dir/offs/wpindex
	4 	# door links
	510.013580 0 1 	# dist/door-id/tekiflag
	1360.053589 1 1 	# dist/door-id/tekiflag
	920.454407 2 1 	# dist/door-id/tekiflag
	680.035400 3 1 	# dist/door-id/tekiflag
}		
# room_yukoana1_5x3_2_tile		
{		
	1 	# version
	room_yukoana1_5x3_2_tile 	# foldername
	3 5 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	1 	# door links
	850.039917 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 1 1 	# dir/offs/wpindex
	1 	# door links
	850.039917 0 1 	# dist/door-id/tekiflag
}		
# room_u_jikou1_4x4_2_tile		
{		
	1 	# version
	room_u_jikou1_4x4_2_tile 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	920.171631 1 1 	# dist/door-id/tekiflag
	1 	# index
	1 2 1 	# dir/offs/wpindex
	1 	# door links
	920.171631 0 1 	# dist/door-id/tekiflag
}		
# room_ike4_5_tsuchi		
{		
	1 	# version
	room_ike4_5_tsuchi 	# foldername
	8 8 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	5 	# num doors
	0 	# index
	0 5 0 	# dir/offs/wpindex
	4 	# door links
	608.836670 1 1 	# dist/door-id/tekiflag
	1622.626587 2 1 	# dist/door-id/tekiflag
	1585.308960 3 1 	# dist/door-id/tekiflag
	1564.292358 4 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	4 	# door links
	608.836670 0 1 	# dist/door-id/tekiflag
	1891.454224 2 1 	# dist/door-id/tekiflag
	1854.136597 3 1 	# dist/door-id/tekiflag
	1833.119995 4 1 	# dist/door-id/tekiflag
	2 	# index
	1 7 2 	# dir/offs/wpindex
	4 	# door links
	1622.626587 0 1 	# dist/door-id/tekiflag
	1891.454224 1 1 	# dist/door-id/tekiflag
	1283.039429 3 1 	# dist/door-id/tekiflag
	1445.678711 4 1 	# dist/door-id/tekiflag
	3 	# index
	2 1 3 	# dir/offs/wpindex
	4 	# door links
	1585.308960 0 1 	# dist/door-id/tekiflag
	1854.136597 1 1 	# dist/door-id/tekiflag
	1283.039551 2 1 	# dist/door-id/tekiflag
	442.636169 4 1 	# dist/door-id/tekiflag
	4 	# index
	3 6 4 	# dir/offs/wpindex
	4 	# door links
	1564.292358 0 1 	# dist/door-id/tekiflag
	1833.119995 1 1 	# dist/door-id/tekiflag
	1445.678711 2 1 	# dist/door-id/tekiflag
	442.636169 3 1 	# dist/door-id/tekiflag
}		
# room_ike1_2_tsuchi		
{		
	1 	# version
	room_ike1_2_tsuchi 	# foldername
	7 6 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	2 	# num doors
	0 	# index
	0 3 0 	# dir/offs/wpindex
	1 	# door links
	1488.174072 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 3 1 	# dir/offs/wpindex
	1 	# door links
	1488.174072 0 1 	# dist/door-id/tekiflag
}		
# room_ike2_4_tsuchi		
{		
	1 	# version
	room_ike2_4_tsuchi 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	3 	# door links
	435.730530 1 1 	# dist/door-id/tekiflag
	876.932983 2 1 	# dist/door-id/tekiflag
	592.051880 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	3 	# door links
	435.730530 0 1 	# dist/door-id/tekiflag
	964.886108 2 1 	# dist/door-id/tekiflag
	680.004944 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 0 2 	# dir/offs/wpindex
	3 	# door links
	876.933044 0 1 	# dist/door-id/tekiflag
	964.886169 1 1 	# dist/door-id/tekiflag
	584.848572 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 1 3 	# dir/offs/wpindex
	3 	# door links
	592.051880 0 1 	# dist/door-id/tekiflag
	680.004944 1 1 	# dist/door-id/tekiflag
	584.848572 2 1 	# dist/door-id/tekiflag
}		
# room_ike3_2_tsuchi		
{		
	1 	# version
	room_ike3_2_tsuchi 	# foldername
	7 6 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	2 	# num doors
	0 	# index
	0 3 0 	# dir/offs/wpindex
	1 	# door links
	1412.211182 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 3 1 	# dir/offs/wpindex
	1 	# door links
	1412.211182 0 1 	# dist/door-id/tekiflag
}		
# room_pype3x4n_2_conc		
{		
	1 	# version
	room_pype3x4n_2_conc 	# foldername
	3 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	2 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	1 	# door links
	935.283325 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	935.283325 0 1 	# dist/door-id/tekiflag
}		
# room_pype4x4o_3_conc		
{		
	1 	# version
	room_pype4x4o_3_conc 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	1 1 0 	# dir/offs/wpindex
	2 	# door links
	850.036377 1 1 	# dist/door-id/tekiflag
	995.838379 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 1 1 	# dir/offs/wpindex
	2 	# door links
	850.036377 0 1 	# dist/door-id/tekiflag
	465.784943 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 3 2 	# dir/offs/wpindex
	2 	# door links
	995.838379 0 1 	# dist/door-id/tekiflag
	465.784973 1 1 	# dist/door-id/tekiflag
}		
# room_spiral_1_newmetal		
{		
	1 	# version
	room_spiral_1_newmetal 	# foldername
	6 7 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	5 	# num doors
	0 	# index
	0 4 0 	# dir/offs/wpindex
	4 	# door links
	473.273773 1 1 	# dist/door-id/tekiflag
	983.304626 2 1 	# dist/door-id/tekiflag
	1316.151855 3 1 	# dist/door-id/tekiflag
	1769.897095 4 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	4 	# door links
	473.273773 0 1 	# dist/door-id/tekiflag
	730.047363 2 1 	# dist/door-id/tekiflag
	1062.894653 3 1 	# dist/door-id/tekiflag
	1516.639893 4 1 	# dist/door-id/tekiflag
	2 	# index
	1 4 2 	# dir/offs/wpindex
	4 	# door links
	983.304688 0 1 	# dist/door-id/tekiflag
	730.047363 1 1 	# dist/door-id/tekiflag
	552.863770 3 1 	# dist/door-id/tekiflag
	1006.609070 4 1 	# dist/door-id/tekiflag
	3 	# index
	1 6 3 	# dir/offs/wpindex
	4 	# door links
	1316.151855 0 1 	# dist/door-id/tekiflag
	1062.894531 1 1 	# dist/door-id/tekiflag
	552.863708 2 1 	# dist/door-id/tekiflag
	708.712097 4 1 	# dist/door-id/tekiflag
	4 	# index
	2 2 4 	# dir/offs/wpindex
	4 	# door links
	1769.897095 0 1 	# dist/door-id/tekiflag
	1516.639771 1 1 	# dist/door-id/tekiflag
	1006.609009 2 1 	# dist/door-id/tekiflag
	708.712158 3 1 	# dist/door-id/tekiflag
}		
# cap_sand		
{		
	1 	# version
	cap_sand 	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# item_cap_sand		
{		
	1 	# version
	item_cap_sand 	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# way3_sand		
{		
	1 	# version
	way3_sand 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	3 	# num doors
	0 	# index
	1 0 0 	# dir/offs/wpindex
	2 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 0 2 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
}		
# way4_sand		
{		
	1 	# version
	way4_sand 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	4 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	3 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 0 1 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 0 2 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 0 3 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
}		
# wayl_sand		
{		
	1 	# version
	wayl_sand 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	1 	# door links
	136.006516 1 1 	# dist/door-id/tekiflag
	1 	# index
	3 0 1 	# dir/offs/wpindex
	1 	# door links
	136.006516 0 1 	# dist/door-id/tekiflag
}		
# way2_sand		
{		
	1 	# version
	way2_sand 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
}		
# way2x2_sand		
{		
	1 	# version
	way2x2_sand 	# foldername
	1 2 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	340.009064 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	340.009064 0 1 	# dist/door-id/tekiflag
}		
# room_mid2_3_sand		
{		
	1 	# version
	room_mid2_3_sand 	# foldername
	7 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	0 3 0 	# dir/offs/wpindex
	2 	# door links
	832.263916 1 1 	# dist/door-id/tekiflag
	832.263916 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 5 1 	# dir/offs/wpindex
	2 	# door links
	832.263916 0 1 	# dist/door-id/tekiflag
	1116.220825 2 1 	# dist/door-id/tekiflag
	2 	# index
	2 1 2 	# dir/offs/wpindex
	2 	# door links
	832.263916 0 1 	# dist/door-id/tekiflag
	1116.220825 1 1 	# dist/door-id/tekiflag
}		
# room_north_1_sand		
{		
	1 	# version
	room_north_1_sand 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 2 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_mid1_6_sand		
{		
	1 	# version
	room_mid1_6_sand 	# foldername
	5 7 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	6 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	5 	# door links
	608.836670 1 1 	# dist/door-id/tekiflag
	1192.810913 2 1 	# dist/door-id/tekiflag
	1252.402832 3 1 	# dist/door-id/tekiflag
	1177.233154 4 1 	# dist/door-id/tekiflag
	608.836670 5 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	5 	# door links
	608.836670 0 1 	# dist/door-id/tekiflag
	1096.778076 2 1 	# dist/door-id/tekiflag
	1267.106079 3 1 	# dist/door-id/tekiflag
	1191.936401 4 1 	# dist/door-id/tekiflag
	877.664307 5 1 	# dist/door-id/tekiflag
	2 	# index
	1 5 2 	# dir/offs/wpindex
	5 	# door links
	1192.810913 0 1 	# dist/door-id/tekiflag
	1096.778076 1 1 	# dist/door-id/tekiflag
	610.876953 3 1 	# dist/door-id/tekiflag
	879.704590 4 1 	# dist/door-id/tekiflag
	1204.772583 5 1 	# dist/door-id/tekiflag
	3 	# index
	2 2 3 	# dir/offs/wpindex
	5 	# door links
	1252.402832 0 1 	# dist/door-id/tekiflag
	1267.106201 1 1 	# dist/door-id/tekiflag
	610.876953 2 1 	# dist/door-id/tekiflag
	608.836670 4 1 	# dist/door-id/tekiflag
	1177.233154 5 1 	# dist/door-id/tekiflag
	4 	# index
	3 5 4 	# dir/offs/wpindex
	5 	# door links
	1177.233154 0 1 	# dist/door-id/tekiflag
	1191.936401 1 1 	# dist/door-id/tekiflag
	879.704529 2 1 	# dist/door-id/tekiflag
	608.836670 3 1 	# dist/door-id/tekiflag
	1102.063477 5 1 	# dist/door-id/tekiflag
	5 	# index
	3 1 5 	# dir/offs/wpindex
	5 	# door links
	608.836670 0 1 	# dist/door-id/tekiflag
	877.664307 1 1 	# dist/door-id/tekiflag
	1204.772583 2 1 	# dist/door-id/tekiflag
	1177.233154 3 1 	# dist/door-id/tekiflag
	1102.063477 4 1 	# dist/door-id/tekiflag
}		
# room_north3_1_sand		
{		
	1 	# version
	room_north3_1_sand	# foldername
	3 3 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_cent_4_sand		
{		
	1 	# version
	room_cent_4_sand 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	3 	# door links
	849.951904 1 1 	# dist/door-id/tekiflag
	849.951904 2 1 	# dist/door-id/tekiflag
	849.951904 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 2 1 	# dir/offs/wpindex
	3 	# door links
	849.951904 0 1 	# dist/door-id/tekiflag
	849.951904 2 1 	# dist/door-id/tekiflag
	849.951904 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	3 	# door links
	849.951904 0 1 	# dist/door-id/tekiflag
	849.951904 1 1 	# dist/door-id/tekiflag
	849.951904 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 2 3 	# dir/offs/wpindex
	3 	# door links
	849.951904 0 1 	# dist/door-id/tekiflag
	849.951904 1 1 	# dist/door-id/tekiflag
	849.951904 2 1 	# dist/door-id/tekiflag
}		
# room_ike3_2_sand		
{		
	1 	# version
	room_ike3_2_sand 	# foldername
	7 6 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	2 	# num doors
	0 	# index
	0 3 0 	# dir/offs/wpindex
	1 	# door links
	1412.211182 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 3 1 	# dir/offs/wpindex
	1 	# door links
	1412.211182 0 1 	# dist/door-id/tekiflag
}		
# room_kingchp_sand		
{		
	1 	# version
	room_kingchp_sand	# foldername
	8 8 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	1 5 0 	# dir/offs/wpindex
	2 	# door links
	1561.028198 1 1 	# dist/door-id/tekiflag
	1417.522949 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 1 1 	# dir/offs/wpindex
	2 	# door links
	1561.028320 0 1 	# dist/door-id/tekiflag
	608.836670 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 5 2 	# dir/offs/wpindex
	2 	# door links
	1417.523071 0 1 	# dist/door-id/tekiflag
	608.836670 1 1 	# dist/door-id/tekiflag
}		
# room_ike_kusachi		
{		
	1 	# version
	room_ike_kusachi 	# foldername
	7 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	1 0 0 	# dir/offs/wpindex
	2 	# door links
	970.661072 1 1 	# dist/door-id/tekiflag
	1253.979736 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 4 1 	# dir/offs/wpindex
	2 	# door links
	970.661133 0 1 	# dist/door-id/tekiflag
	1316.907227 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 2 2 	# dir/offs/wpindex
	2 	# door links
	1253.979858 0 1 	# dist/door-id/tekiflag
	1316.907227 1 1 	# dist/door-id/tekiflag
}		
# room_pype10x18s_conc		
{		
	1 	# version
	room_pype10x18s_conc 	# foldername
	10 18 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 6 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_kingchap_b_tsuchi		
{		
	1 	# version
	room_kingchap_b_tsuchi 	# foldername
	7 7 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 3 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_4x4g_water_4_conc		
{		
	1 	# version
	room_4x4g_water_4_conc 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	3 	# door links
	850.045959 1 1 	# dist/door-id/tekiflag
	997.831848 2 1 	# dist/door-id/tekiflag
	680.015198 3 1 	# dist/door-id/tekiflag
	1 	# index
	2 3 1 	# dir/offs/wpindex
	3 	# door links
	850.045898 0 1 	# dist/door-id/tekiflag
	707.837769 2 1 	# dist/door-id/tekiflag
	1020.044373 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 0 2 	# dir/offs/wpindex
	3 	# door links
	997.831787 0 1 	# dist/door-id/tekiflag
	707.837708 1 1 	# dist/door-id/tekiflag
	827.847534 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 1 3 	# dir/offs/wpindex
	3 	# door links
	680.015137 0 1 	# dist/door-id/tekiflag
	1020.044373 1 1 	# dist/door-id/tekiflag
	827.847595 2 1 	# dist/door-id/tekiflag
}		
