#		
#		
#	units definition file	
#		
#		
45	# number of units	
	room_hitode2x2_4_metal 	# foldername
	2 2 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	4 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	3 	# door links
	395.369202 1 1 	# dist/door-id/tekiflag
	395.369202 2 1 	# dist/door-id/tekiflag
	225.610672 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	3 	# door links
	395.369202 0 1 	# dist/door-id/tekiflag
	225.610672 2 1 	# dist/door-id/tekiflag
	395.369202 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 1 2 	# dir/offs/wpindex
	3 	# door links
	395.369202 0 1 	# dist/door-id/tekiflag
	225.610672 1 1 	# dist/door-id/tekiflag
	395.369202 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 0 3 	# dir/offs/wpindex
	3 	# door links
	225.610672 0 1 	# dist/door-id/tekiflag
	395.369202 1 1 	# dist/door-id/tekiflag
	395.369202 2 1 	# dist/door-id/tekiflag
}		
# room_hitode2x3_5_metal		
{		
	1 	# version
	room_hitode2x3_5_metal 	# foldername
	3 2 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	5 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	4 	# door links
	534.412781 1 1 	# dist/door-id/tekiflag
	542.299805 2 1 	# dist/door-id/tekiflag
	542.299805 3 1 	# dist/door-id/tekiflag
	542.299805 4 1 	# dist/door-id/tekiflag
	1 	# index
	0 2 1 	# dir/offs/wpindex
	4 	# door links
	534.412781 0 1 	# dist/door-id/tekiflag
	542.299805 2 1 	# dist/door-id/tekiflag
	542.299805 3 1 	# dist/door-id/tekiflag
	542.299805 4 1 	# dist/door-id/tekiflag
	2 	# index
	1 1 2 	# dir/offs/wpindex
	4 	# door links
	542.299805 0 1 	# dist/door-id/tekiflag
	542.299805 1 1 	# dist/door-id/tekiflag
	550.186890 3 1 	# dist/door-id/tekiflag
	550.186890 4 1 	# dist/door-id/tekiflag
	3 	# index
	2 0 3 	# dir/offs/wpindex
	4 	# door links
	542.299805 0 1 	# dist/door-id/tekiflag
	542.299805 1 1 	# dist/door-id/tekiflag
	550.186890 2 1 	# dist/door-id/tekiflag
	170.004532 4 1 	# dist/door-id/tekiflag
	4 	# index
	3 1 4 	# dir/offs/wpindex
	4 	# door links
	542.299805 0 1 	# dist/door-id/tekiflag
	542.299805 1 1 	# dist/door-id/tekiflag
	550.186890 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
}		
# room_hitode3x3_5_metal		
{		
	1 	# version
	room_hitode3x3_5_metal 	# foldername
	3 3 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	5 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	4 	# door links
	567.063965 1 1 	# dist/door-id/tekiflag
	567.063965 2 1 	# dist/door-id/tekiflag
	567.063965 3 1 	# dist/door-id/tekiflag
	510.013611 4 1 	# dist/door-id/tekiflag
	1 	# index
	1 0 1 	# dir/offs/wpindex
	4 	# door links
	567.063965 0 1 	# dist/door-id/tekiflag
	624.114258 2 1 	# dist/door-id/tekiflag
	624.114258 3 1 	# dist/door-id/tekiflag
	567.063965 4 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	4 	# door links
	567.063965 0 1 	# dist/door-id/tekiflag
	624.114258 1 1 	# dist/door-id/tekiflag
	624.114258 3 1 	# dist/door-id/tekiflag
	567.063965 4 1 	# dist/door-id/tekiflag
	3 	# index
	2 0 3 	# dir/offs/wpindex
	4 	# door links
	567.063965 0 1 	# dist/door-id/tekiflag
	624.114258 1 1 	# dist/door-id/tekiflag
	624.114258 2 1 	# dist/door-id/tekiflag
	567.063965 4 1 	# dist/door-id/tekiflag
	4 	# index
	3 1 4 	# dir/offs/wpindex
	4 	# door links
	510.013611 0 1 	# dist/door-id/tekiflag
	567.063965 1 1 	# dist/door-id/tekiflag
	567.063965 2 1 	# dist/door-id/tekiflag
	567.063965 3 1 	# dist/door-id/tekiflag
}		
# room_hitode3x4_4_metal		
{		
	1 	# version
	room_hitode3x4_4_metal 	# foldername
	4 3 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	4 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	3 	# door links
	688.563416 1 1 	# dist/door-id/tekiflag
	671.214661 2 1 	# dist/door-id/tekiflag
	441.582275 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	3 	# door links
	688.563477 0 1 	# dist/door-id/tekiflag
	441.582275 2 1 	# dist/door-id/tekiflag
	705.912231 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	3 	# door links
	671.214661 0 1 	# dist/door-id/tekiflag
	441.582275 1 1 	# dist/door-id/tekiflag
	688.563416 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 1 3 	# dir/offs/wpindex
	3 	# door links
	441.582275 0 1 	# dist/door-id/tekiflag
	705.912231 1 1 	# dist/door-id/tekiflag
	688.563477 2 1 	# dist/door-id/tekiflag
}		
# room_hitode4x4_3_metal		
{		
	1 	# version
	room_hitode4x4_3_metal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	2 	# door links
	897.036316 1 1 	# dist/door-id/tekiflag
	589.724182 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 2 1 	# dir/offs/wpindex
	2 	# door links
	897.036255 0 1 	# dist/door-id/tekiflag
	587.309082 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 2 2 	# dir/offs/wpindex
	2 	# door links
	589.724121 0 1 	# dist/door-id/tekiflag
	587.309082 1 1 	# dist/door-id/tekiflag
}		
# room_hitode4x4_6_metal		
{		
	1 	# version
	room_hitode4x4_6_metal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	6 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	5 	# door links
	828.190125 1 1 	# dist/door-id/tekiflag
	798.218445 2 1 	# dist/door-id/tekiflag
	919.122131 3 1 	# dist/door-id/tekiflag
	715.126221 4 1 	# dist/door-id/tekiflag
	836.029907 5 1 	# dist/door-id/tekiflag
	1 	# index
	0 3 1 	# dir/offs/wpindex
	5 	# door links
	828.190125 0 1 	# dist/door-id/tekiflag
	570.302124 2 1 	# dist/door-id/tekiflag
	691.205811 3 1 	# dist/door-id/tekiflag
	822.921204 4 1 	# dist/door-id/tekiflag
	943.824890 5 1 	# dist/door-id/tekiflag
	2 	# index
	1 2 2 	# dir/offs/wpindex
	5 	# door links
	798.218323 0 1 	# dist/door-id/tekiflag
	570.302124 1 1 	# dist/door-id/tekiflag
	400.900635 3 1 	# dist/door-id/tekiflag
	587.309082 4 1 	# dist/door-id/tekiflag
	708.212769 5 1 	# dist/door-id/tekiflag
	3 	# index
	2 3 3 	# dir/offs/wpindex
	5 	# door links
	919.122070 0 1 	# dist/door-id/tekiflag
	691.205811 1 1 	# dist/door-id/tekiflag
	400.900635 2 1 	# dist/door-id/tekiflag
	708.212769 4 1 	# dist/door-id/tekiflag
	829.116455 5 1 	# dist/door-id/tekiflag
	4 	# index
	2 1 4 	# dir/offs/wpindex
	5 	# door links
	715.126160 0 1 	# dist/door-id/tekiflag
	822.921204 1 1 	# dist/door-id/tekiflag
	587.309082 2 1 	# dist/door-id/tekiflag
	708.212769 3 1 	# dist/door-id/tekiflag
	400.900635 5 1 	# dist/door-id/tekiflag
	5 	# index
	3 3 5 	# dir/offs/wpindex
	5 	# door links
	836.029907 0 1 	# dist/door-id/tekiflag
	943.824890 1 1 	# dist/door-id/tekiflag
	708.212769 2 1 	# dist/door-id/tekiflag
	829.116455 3 1 	# dist/door-id/tekiflag
	400.900635 4 1 	# dist/door-id/tekiflag
}		
# room_hitode4x4_7_metal		
{		
	1 	# version
	room_hitode4x4_7_metal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	7 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	6 	# door links
	876.167664 1 1 	# dist/door-id/tekiflag
	876.167664 2 1 	# dist/door-id/tekiflag
	788.598938 3 1 	# dist/door-id/tekiflag
	756.830078 4 1 	# dist/door-id/tekiflag
	537.825195 5 1 	# dist/door-id/tekiflag
	225.610703 6 1 	# dist/door-id/tekiflag
	1 	# index
	0 3 1 	# dir/offs/wpindex
	6 	# door links
	876.167664 0 1 	# dist/door-id/tekiflag
	225.610672 2 1 	# dist/door-id/tekiflag
	515.640869 3 1 	# dist/door-id/tekiflag
	796.217224 4 1 	# dist/door-id/tekiflag
	793.303528 5 1 	# dist/door-id/tekiflag
	876.167664 6 1 	# dist/door-id/tekiflag
	2 	# index
	1 0 2 	# dir/offs/wpindex
	6 	# door links
	876.167664 0 1 	# dist/door-id/tekiflag
	225.610672 1 1 	# dist/door-id/tekiflag
	515.640869 3 1 	# dist/door-id/tekiflag
	796.217224 4 1 	# dist/door-id/tekiflag
	793.303528 5 1 	# dist/door-id/tekiflag
	876.167664 6 1 	# dist/door-id/tekiflag
	3 	# index
	1 2 3 	# dir/offs/wpindex
	6 	# door links
	788.598938 0 1 	# dist/door-id/tekiflag
	515.640869 1 1 	# dist/door-id/tekiflag
	515.640869 2 1 	# dist/door-id/tekiflag
	673.832031 4 1 	# dist/door-id/tekiflag
	705.734741 5 1 	# dist/door-id/tekiflag
	788.598938 6 1 	# dist/door-id/tekiflag
	4 	# index
	2 1 4 	# dir/offs/wpindex
	6 	# door links
	756.830139 0 1 	# dist/door-id/tekiflag
	796.217285 1 1 	# dist/door-id/tekiflag
	796.217285 2 1 	# dist/door-id/tekiflag
	673.832092 3 1 	# dist/door-id/tekiflag
	439.021362 5 1 	# dist/door-id/tekiflag
	756.830139 6 1 	# dist/door-id/tekiflag
	5 	# index
	3 2 5 	# dir/offs/wpindex
	6 	# door links
	537.825256 0 1 	# dist/door-id/tekiflag
	793.303528 1 1 	# dist/door-id/tekiflag
	793.303528 2 1 	# dist/door-id/tekiflag
	705.734741 3 1 	# dist/door-id/tekiflag
	439.021362 4 1 	# dist/door-id/tekiflag
	537.825256 6 1 	# dist/door-id/tekiflag
	6 	# index
	3 0 6 	# dir/offs/wpindex
	6 	# door links
	225.610703 0 1 	# dist/door-id/tekiflag
	876.167725 1 1 	# dist/door-id/tekiflag
	876.167725 2 1 	# dist/door-id/tekiflag
	788.598938 3 1 	# dist/door-id/tekiflag
	756.830139 4 1 	# dist/door-id/tekiflag
	537.825256 5 1 	# dist/door-id/tekiflag
}		
# cap_newmetal		
{		
	1 	# version
	cap_newmetal 	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# item_cap_newmetal		
{		
	1 	# version
	item_cap_newmetal 	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# way3_newmetal		
{		
	1 	# version
	way3_newmetal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	3 	# num doors
	0 	# index
	1 0 0 	# dir/offs/wpindex
	2 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 0 2 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
}		
# way4_newmetal		
{		
	1 	# version
	way4_newmetal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	4 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	3 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 0 1 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 0 2 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 0 3 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
}		
# wayl_newmetal		
{		
	1 	# version
	wayl_newmetal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	1 	# door links
	136.006516 1 1 	# dist/door-id/tekiflag
	1 	# index
	3 0 1 	# dir/offs/wpindex
	1 	# door links
	136.006516 0 1 	# dist/door-id/tekiflag
}		
# way2_newmetal		
{		
	1 	# version
	way2_newmetal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
}		
# way2x2_newmetal		
{		
	1 	# version
	way2x2_newmetal 	# foldername
	1 2 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	340.009064 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	340.009064 0 1 	# dist/door-id/tekiflag
}		
# room_4x4a_4_newmetal		
{		
	1 	# version
	room_4x4a_4_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	3 	# door links
	462.701538 1 1 	# dist/door-id/tekiflag
	799.409973 2 1 	# dist/door-id/tekiflag
	917.955383 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	3 	# door links
	462.701538 0 1 	# dist/door-id/tekiflag
	799.409973 2 1 	# dist/door-id/tekiflag
	917.955383 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 1 2 	# dir/offs/wpindex
	3 	# door links
	799.409973 0 1 	# dist/door-id/tekiflag
	799.409973 1 1 	# dist/door-id/tekiflag
	344.156097 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 3 3 	# dir/offs/wpindex
	3 	# door links
	917.955383 0 1 	# dist/door-id/tekiflag
	917.955383 1 1 	# dist/door-id/tekiflag
	344.156097 2 1 	# dist/door-id/tekiflag
}		
# room_4x4b_4_newmetal		
{		
	1 	# version
	room_4x4b_4_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	3 	# door links
	714.605530 1 1 	# dist/door-id/tekiflag
	714.605530 2 1 	# dist/door-id/tekiflag
	442.636169 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 2 1 	# dir/offs/wpindex
	3 	# door links
	714.605530 0 1 	# dist/door-id/tekiflag
	442.636169 2 1 	# dist/door-id/tekiflag
	714.605530 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	3 	# door links
	714.605530 0 1 	# dist/door-id/tekiflag
	442.636169 1 1 	# dist/door-id/tekiflag
	714.605530 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 1 3 	# dir/offs/wpindex
	3 	# door links
